Model,Strategy,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,TN,FP,FN,TP
Logistic Regression,SMOTE,0.747,0.2356902356902357,0.7291666666666666,0.356234096692112,0.7681830752212389,0.2680853286391954,677,227,26,70
Decision Tree,SMOTE,0.765,0.21862348178137653,0.5625,0.31486880466472306,0.7575878042035398,0.23353856861958633,711,193,42,54
Random Forest,SMOTE,0.788,0.24336283185840707,0.5729166666666666,0.3416149068322981,0.7587804203539823,0.223519089118771,733,171,41,55
XGBoost,SMOTE,0.882,0.225,0.09375,0.1323529411764706,0.7584232116519175,0.23358149199767386,873,31,87,9
Logistic Regression,Class Weight,0.748,0.24172185430463577,0.7604166666666666,0.36683417085427134,0.7645879424778762,0.2620245745630227,675,229,23,73
Decision Tree,Class Weight,0.753,0.23508771929824562,0.6979166666666666,0.35170603674540685,0.7639484236725663,0.25586762817907577,686,218,29,67
Random Forest,Class Weight,0.736,0.23248407643312102,0.7604166666666666,0.35609756097560974,0.7577433628318583,0.24120606323930915,663,241,23,73
XGBoost,Class Weight,0.783,0.2530612244897959,0.6458333333333334,0.36363636363636365,0.7509333517699116,0.22616492357833323,721,183,34,62
